"","provincia","year","total","varones","mujeres"
"1","Ciudad de Buenos Aires",2010,"3028481","1405566","1622915"
"2","Ciudad de Buenos Aires",2011,"3033639","1409835","1623804"
"3","Ciudad de Buenos Aires",2012,"3038860","1414105","1624755"
"4","Ciudad de Buenos Aires",2013,"3044076","1418339","1625737"
"5","Ciudad de Buenos Aires",2014,"3049229","1422507","1626722"
"6","Ciudad de Buenos Aires",2015,"3054267","1426582","1627685"
"7","Ciudad de Buenos Aires",2016,"3059122","1430531","1628591"
"8","Ciudad de Buenos Aires",2017,"3063728","1434323","1629405"
"9","Ciudad de Buenos Aires",2018,"3068043","1437936","1630107"
"10","Ciudad de Buenos Aires",2019,"3072029","1441350","1630679"
"11","Ciudad de Buenos Aires",2020,"3075646","1444545","1631101"
"12","Ciudad de Buenos Aires",2021,"3078836","1447495","1631341"
"13","Ciudad de Buenos Aires",2022,"3081550","1450179","1631371"
"14","Ciudad de Buenos Aires",2023,"3083770","1452588","1631182"
"15","Ciudad de Buenos Aires",2024,"3085483","1454716","1630767"
"16","Ciudad de Buenos Aires",2025,"3086680","1456560","1630120"
"17","Ciudad de Buenos Aires",2026,"3087338","1458111","1629227"
"18","Ciudad de Buenos Aires",2027,"3087434","1459359","1628075"
"19","Ciudad de Buenos Aires",2028,"3086973","1460309","1626664"
"20","Ciudad de Buenos Aires",2029,"3085971","1460970","1625001"
"21","Ciudad de Buenos Aires",2030,"3084450","1461355","1623095"
"22","Ciudad de Buenos Aires",2031,"3082415","1461471","1620944"
"23","Ciudad de Buenos Aires",2032,"3079869","1461324","1618545"
"24","Ciudad de Buenos Aires",2033,"3076845","1460932","1615913"
"25","Ciudad de Buenos Aires",2034,"3073375","1460312","1613063"
"26","Ciudad de Buenos Aires",2035,"3069488","1459479","1610009"
"27","Ciudad de Buenos Aires",2036,"3065183","1458434","1606749"
"28","Ciudad de Buenos Aires",2037,"3060454","1457173","1603281"
"29","Ciudad de Buenos Aires",2038,"3055302","1455695","1599607"
"30","Ciudad de Buenos Aires",2039,"3049723","1453997","1595726"
"31","Ciudad de Buenos Aires",2040,"3043704","1452069","1591635"
"32","Buenos Aires",2010,"15716942","7678592","8038350"
"33","Buenos Aires",2011,"15909607","7776525","8133082"
"34","Buenos Aires",2012,"16100618","7873684","8226934"
"35","Buenos Aires",2013,"16289599","7969864","8319735"
"36","Buenos Aires",2014,"16476149","8064849","8411300"
"37","Buenos Aires",2015,"16659931","8158456","8501475"
"38","Buenos Aires",2016,"16841135","8250777","8590358"
"39","Buenos Aires",2017,"17020012","8341933","8678079"
"40","Buenos Aires",2018,"17196396","8431831","8764565"
"41","Buenos Aires",2019,"17370144","8520388","8849756"
"42","Buenos Aires",2020,"17541141","8607537","8933604"
"43","Buenos Aires",2021,"17709598","8693385","9016213"
"44","Buenos Aires",2022,"17875743","8778048","9097695"
"45","Buenos Aires",2023,"18039509","8861488","9178021"
"46","Buenos Aires",2024,"18200851","8943682","9257169"
"47","Buenos Aires",2025,"18359753","9024621","9335132"
"48","Buenos Aires",2026,"18516459","9104437","9412022"
"49","Buenos Aires",2027,"18671214","9183262","9487952"
"50","Buenos Aires",2028,"18824007","9261094","9562913"
"51","Buenos Aires",2029,"18974810","9337923","9636887"
"52","Buenos Aires",2030,"19123592","9413737","9709855"
"53","Buenos Aires",2031,"19270454","9488592","9781862"
"54","Buenos Aires",2032,"19415494","9562541","9852953"
"55","Buenos Aires",2033,"19558673","9635567","9923106"
"56","Buenos Aires",2034,"19699931","9707643","9992288"
"57","Buenos Aires",2035,"19839191","9778732","10060459"
"58","Buenos Aires",2036,"19976410","9848813","10127597"
"59","Buenos Aires",2037,"20111548","9917868","10193680"
"60","Buenos Aires",2038,"20244529","9985856","10258673"
"61","Buenos Aires",2039,"20375264","10052731","10322533"
"62","Buenos Aires",2040,"20503653","10118438","10385215"
"63","Catamarca",2010,"377676","188677","188999"
"64","Catamarca",2011,"381548","190654","190894"
"65","Catamarca",2012,"385408","192625","192783"
"66","Catamarca",2013,"389256","194590","194666"
"67","Catamarca",2014,"393088","196547","196541"
"68","Catamarca",2015,"396895","198490","198405"
"69","Catamarca",2016,"400678","200420","200258"
"70","Catamarca",2017,"404433","202334","202099"
"71","Catamarca",2018,"408152","204228","203924"
"72","Catamarca",2019,"411824","206096","205728"
"73","Catamarca",2020,"415438","207933","207505"
"74","Catamarca",2021,"418991","209737","209254"
"75","Catamarca",2022,"422476","211503","210973"
"76","Catamarca",2023,"425885","213228","212657"
"77","Catamarca",2024,"429208","214907","214301"
"78","Catamarca",2025,"432438","216536","215902"
"79","Catamarca",2026,"435572","218113","217459"
"80","Catamarca",2027,"438610","219639","218971"
"81","Catamarca",2028,"441548","221112","220436"
"82","Catamarca",2029,"444382","222529","221853"
"83","Catamarca",2030,"447107","223889","223218"
"84","Catamarca",2031,"449719","225189","224530"
"85","Catamarca",2032,"452217","226430","225787"
"86","Catamarca",2033,"454596","227608","226988"
"87","Catamarca",2034,"456854","228723","228131"
"88","Catamarca",2035,"458989","229774","229215"
"89","Catamarca",2036,"460999","230761","230238"
"90","Catamarca",2037,"462883","231683","231200"
"91","Catamarca",2038,"464640","232540","232100"
"92","Catamarca",2039,"466275","233334","232941"
"93","Catamarca",2040,"467787","234065","233722"
"94","Córdoba",2010,"3373025","1642300","1730725"
"95","Córdoba",2011,"3411773","1661989","1749784"
"96","Córdoba",2012,"3450673","1681770","1768903"
"97","Córdoba",2013,"3489669","1701613","1788056"
"98","Córdoba",2014,"3528687","1721478","1807209"
"99","Córdoba",2015,"3567654","1741325","1826329"
"100","Córdoba",2016,"3606540","1761138","1845402"
"101","Córdoba",2017,"3645321","1780905","1864416"
"102","Córdoba",2018,"3683937","1800593","1883344"
"103","Córdoba",2019,"3722332","1820172","1902160"
"104","Córdoba",2020,"3760450","1839612","1920838"
"105","Córdoba",2021,"3798261","1858896","1939365"
"106","Córdoba",2022,"3835738","1878010","1957728"
"107","Córdoba",2023,"3872830","1896928","1975902"
"108","Córdoba",2024,"3909489","1915625","1993864"
"109","Córdoba",2025,"3945677","1934082","2011595"
"110","Córdoba",2026,"3981393","1952301","2029092"
"111","Córdoba",2027,"4016659","1970295","2046364"
"112","Córdoba",2028,"4051461","1988057","2063404"
"113","Córdoba",2029,"4085783","2005579","2080204"
"114","Córdoba",2030,"4119615","2022857","2096758"
"115","Córdoba",2031,"4152951","2039888","2113063"
"116","Córdoba",2032,"4185790","2056671","2129119"
"117","Córdoba",2033,"4218137","2073209","2144928"
"118","Córdoba",2034,"4250000","2089505","2160495"
"119","Córdoba",2035,"4281389","2105563","2175826"
"120","Córdoba",2036,"4312310","2121388","2190922"
"121","Córdoba",2037,"4342769","2136982","2205787"
"122","Córdoba",2038,"4372781","2152351","2220430"
"123","Córdoba",2039,"4402358","2167500","2234858"
"124","Córdoba",2040,"4431509","2182434","2249075"
"125","Corrientes",2010,"1017731","501452","516279"
"126","Corrientes",2011,"1028248","506702","521546"
"127","Corrientes",2012,"1038786","511969","526817"
"128","Corrientes",2013,"1049325","517240","532085"
"129","Corrientes",2014,"1059836","522500","537336"
"130","Corrientes",2015,"1070283","527731","542552"
"131","Corrientes",2016,"1080655","532925","547730"
"132","Corrientes",2017,"1090938","538075","552863"
"133","Corrientes",2018,"1101084","543156","557928"
"134","Corrientes",2019,"1111052","548147","562905"
"135","Corrientes",2020,"1120801","553026","567775"
"136","Corrientes",2021,"1130320","557787","572533"
"137","Corrientes",2022,"1139604","562427","577177"
"138","Corrientes",2023,"1148631","566935","581696"
"139","Corrientes",2024,"1157386","571303","586083"
"140","Corrientes",2025,"1165860","575526","590334"
"141","Corrientes",2026,"1174065","579610","594455"
"142","Corrientes",2027,"1182008","583560","598448"
"143","Corrientes",2028,"1189680","587371","602309"
"144","Corrientes",2029,"1197076","591042","606034"
"145","Corrientes",2030,"1204189","594569","609620"
"146","Corrientes",2031,"1211027","597957","613070"
"147","Corrientes",2032,"1217593","601207","616386"
"148","Corrientes",2033,"1223885","604319","619566"
"149","Corrientes",2034,"1229901","607293","622608"
"150","Corrientes",2035,"1235644","610131","625513"
"151","Corrientes",2036,"1241119","612836","628283"
"152","Corrientes",2037,"1246340","615417","630923"
"153","Corrientes",2038,"1251313","617876","633437"
"154","Corrientes",2039,"1256046","620219","635827"
"155","Corrientes",2040,"1260548","622451","638097"
"156","Chaco",2010,"1080017","534347","545670"
"157","Chaco",2011,"1092625","540391","552234"
"158","Chaco",2012,"1105280","546471","558809"
"159","Chaco",2013,"1117953","552570","565383"
"160","Chaco",2014,"1130608","558670","571938"
"161","Chaco",2015,"1143201","564746","578455"
"162","Chaco",2016,"1155723","570793","584930"
"163","Chaco",2017,"1168165","576806","591359"
"164","Chaco",2018,"1180477","582759","597718"
"165","Chaco",2019,"1192616","588629","603987"
"166","Chaco",2020,"1204541","594394","610147"
"167","Chaco",2021,"1216247","600052","616195"
"168","Chaco",2022,"1227736","605603","622133"
"169","Chaco",2023,"1238989","611037","627952"
"170","Chaco",2024,"1249992","616347","633645"
"171","Chaco",2025,"1260737","621528","639209"
"172","Chaco",2026,"1271241","626589","644652"
"173","Chaco",2027,"1281525","631540","649985"
"174","Chaco",2028,"1291581","636378","655203"
"175","Chaco",2029,"1301397","641096","660301"
"176","Chaco",2030,"1310964","645690","665274"
"177","Chaco",2031,"1320278","650158","670120"
"178","Chaco",2032,"1329337","654500","674837"
"179","Chaco",2033,"1338130","658710","679420"
"180","Chaco",2034,"1346652","662787","683865"
"181","Chaco",2035,"1354895","666726","688169"
"182","Chaco",2036,"1362863","670530","692333"
"183","Chaco",2037,"1370566","674204","696362"
"184","Chaco",2038,"1378007","677751","700256"
"185","Chaco",2039,"1385188","681171","704017"
"186","Chaco",2040,"1392114","684468","707646"
"187","Chubut",2010,"513433","256540","256893"
"188","Chubut",2011,"524201","262005","262196"
"189","Chubut",2012,"534945","267460","267485"
"190","Chubut",2013,"545656","272901","272755"
"191","Chubut",2014,"556319","278319","278000"
"192","Chubut",2015,"566922","283708","283214"
"193","Chubut",2016,"577466","289068","288398"
"194","Chubut",2017,"587956","294402","293554"
"195","Chubut",2018,"598380","299702","298678"
"196","Chubut",2019,"608729","304965","303764"
"197","Chubut",2020,"618994","310185","308809"
"198","Chubut",2021,"629181","315365","313816"
"199","Chubut",2022,"639294","320508","318786"
"200","Chubut",2023,"649330","325610","323720"
"201","Chubut",2024,"659284","330670","328614"
"202","Chubut",2025,"669155","335688","333467"
"203","Chubut",2026,"678951","340667","338284"
"204","Chubut",2027,"688682","345612","343070"
"205","Chubut",2028,"698351","350524","347827"
"206","Chubut",2029,"707956","355402","352554"
"207","Chubut",2030,"717495","360246","357249"
"208","Chubut",2031,"726971","365057","361914"
"209","Chubut",2032,"736386","369836","366550"
"210","Chubut",2033,"745737","374582","371155"
"211","Chubut",2034,"755021","379293","375728"
"212","Chubut",2035,"764230","383965","380265"
"213","Chubut",2036,"773367","388600","384767"
"214","Chubut",2037,"782427","393195","389232"
"215","Chubut",2038,"791405","397749","393656"
"216","Chubut",2039,"800299","402259","398040"
"217","Chubut",2040,"809102","406723","402379"
"218","Entre Ríos",2010,"1255574","615107","640467"
"219","Entre Ríos",2011,"1268744","621717","647027"
"220","Entre Ríos",2012,"1281931","628346","653585"
"221","Entre Ríos",2013,"1295121","634985","660136"
"222","Entre Ríos",2014,"1308290","641619","666671"
"223","Entre Ríos",2015,"1321415","648236","673179"
"224","Entre Ríos",2016,"1334489","654832","679657"
"225","Entre Ríos",2017,"1347508","661403","686105"
"226","Entre Ríos",2018,"1360443","667934","692509"
"227","Entre Ríos",2019,"1373270","674412","698858"
"228","Entre Ríos",2020,"1385961","680822","705139"
"229","Entre Ríos",2021,"1398510","687159","711351"
"230","Entre Ríos",2022,"1410908","693419","717489"
"231","Entre Ríos",2023,"1423136","699592","723544"
"232","Entre Ríos",2024,"1435177","705669","729508"
"233","Entre Ríos",2025,"1447019","711644","735375"
"234","Entre Ríos",2026,"1458661","717517","741144"
"235","Entre Ríos",2027,"1470109","723292","746817"
"236","Entre Ríos",2028,"1481358","728967","752391"
"237","Entre Ríos",2029,"1492399","734538","757861"
"238","Entre Ríos",2030,"1503222","740000","763222"
"239","Entre Ríos",2031,"1513825","745353","768472"
"240","Entre Ríos",2032,"1524206","750595","773611"
"241","Entre Ríos",2033,"1534359","755724","778635"
"242","Entre Ríos",2034,"1544281","760740","783541"
"243","Entre Ríos",2035,"1553972","765642","788330"
"244","Entre Ríos",2036,"1563429","770428","793001"
"245","Entre Ríos",2037,"1572653","775100","797553"
"246","Entre Ríos",2038,"1581648","779660","801988"
"247","Entre Ríos",2039,"1590415","784108","806307"
"248","Entre Ríos",2040,"1598960","788447","810513"
"249","Formosa",2010,"551626","275092","276534"
"250","Formosa",2011,"557223","277823","279400"
"251","Formosa",2012,"562794","280542","282252"
"252","Formosa",2013,"568331","283244","285087"
"253","Formosa",2014,"573823","285924","287899"
"254","Formosa",2015,"579250","288571","290679"
"255","Formosa",2016,"584614","291187","293427"
"256","Formosa",2017,"589916","293772","296144"
"257","Formosa",2018,"595129","296313","298816"
"258","Formosa",2019,"600229","298797","301432"
"259","Formosa",2020,"605193","301213","303980"
"260","Formosa",2021,"610019","303560","306459"
"261","Formosa",2022,"614706","305837","308869"
"262","Formosa",2023,"619240","308037","311203"
"263","Formosa",2024,"623605","310153","313452"
"264","Formosa",2025,"627790","312179","315611"
"265","Formosa",2026,"631801","314118","317683"
"266","Formosa",2027,"635646","315975","319671"
"267","Formosa",2028,"639319","317746","321573"
"268","Formosa",2029,"642812","319428","323384"
"269","Formosa",2030,"646119","321018","325101"
"270","Formosa",2031,"649242","322517","326725"
"271","Formosa",2032,"652185","323928","328257"
"272","Formosa",2033,"654940","325247","329693"
"273","Formosa",2034,"657503","326471","331032"
"274","Formosa",2035,"659871","327600","332271"
"275","Formosa",2036,"662045","328634","333411"
"276","Formosa",2037,"664031","329577","334454"
"277","Formosa",2038,"665827","330428","335399"
"278","Formosa",2039,"667437","331189","336248"
"279","Formosa",2040,"668865","331862","337003"
"280","Jujuy",2010,"683513","336954","346559"
"281","Jujuy",2011,"692379","341398","350981"
"282","Jujuy",2012,"701252","345849","355403"
"283","Jujuy",2013,"710121","350301","359820"
"284","Jujuy",2014,"718971","354747","364224"
"285","Jujuy",2015,"727780","359175","368605"
"286","Jujuy",2016,"736542","363581","372961"
"287","Jujuy",2017,"745252","367963","377289"
"288","Jujuy",2018,"753891","372312","381579"
"289","Jujuy",2019,"762440","376618","385822"
"290","Jujuy",2020,"770881","380872","390009"
"291","Jujuy",2021,"779212","385072","394140"
"292","Jujuy",2022,"787436","389221","398215"
"293","Jujuy",2023,"795539","393311","402228"
"294","Jujuy",2024,"803507","397335","406172"
"295","Jujuy",2025,"811328","401287","410041"
"296","Jujuy",2026,"819006","405169","413837"
"297","Jujuy",2027,"826541","408980","417561"
"298","Jujuy",2028,"833925","412717","421208"
"299","Jujuy",2029,"841151","416376","424775"
"300","Jujuy",2030,"848213","419954","428259"
"301","Jujuy",2031,"855109","423451","431658"
"302","Jujuy",2032,"861838","426866","434972"
"303","Jujuy",2033,"868393","430194","438199"
"304","Jujuy",2034,"874769","433434","441335"
"305","Jujuy",2035,"880965","436585","444380"
"306","Jujuy",2036,"886977","439645","447332"
"307","Jujuy",2037,"892807","442615","450192"
"308","Jujuy",2038,"898453","445494","452959"
"309","Jujuy",2039,"903916","448283","455633"
"310","Jujuy",2040,"909196","450981","458215"
"311","La Pampa",2010,"327028","162435","164593"
"312","La Pampa",2011,"330268","164027","166241"
"313","La Pampa",2012,"333496","165612","167884"
"314","La Pampa",2013,"336706","167187","169519"
"315","La Pampa",2014,"339895","168750","171145"
"316","La Pampa",2015,"343056","170298","172758"
"317","La Pampa",2016,"346191","171831","174360"
"318","La Pampa",2017,"349299","173350","175949"
"319","La Pampa",2018,"352378","174853","177525"
"320","La Pampa",2019,"355422","176337","179085"
"321","La Pampa",2020,"358428","177801","180627"
"322","La Pampa",2021,"361394","179244","182150"
"323","La Pampa",2022,"364322","180667","183655"
"324","La Pampa",2023,"367207","182068","185139"
"325","La Pampa",2024,"370047","183445","186602"
"326","La Pampa",2025,"372838","184796","188042"
"327","La Pampa",2026,"375579","186122","189457"
"328","La Pampa",2027,"378272","187424","190848"
"329","La Pampa",2028,"380911","188698","192213"
"330","La Pampa",2029,"383495","189945","193550"
"331","La Pampa",2030,"386024","191163","194861"
"332","La Pampa",2031,"388496","192353","196143"
"333","La Pampa",2032,"390910","193514","197396"
"334","La Pampa",2033,"393265","194646","198619"
"335","La Pampa",2034,"395561","195748","199813"
"336","La Pampa",2035,"397800","196822","200978"
"337","La Pampa",2036,"399980","197867","202113"
"338","La Pampa",2037,"402103","198884","203219"
"339","La Pampa",2038,"404168","199873","204295"
"340","La Pampa",2039,"406177","200835","205342"
"341","La Pampa",2040,"408128","201768","206360"
"342","La Rioja",2010,"342582","170647","171935"
"343","La Rioja",2011,"347494","173075","174419"
"344","La Rioja",2012,"352476","175541","176935"
"345","La Rioja",2013,"357516","178039","179477"
"346","La Rioja",2014,"362605","180563","182042"
"347","La Rioja",2015,"367728","183105","184623"
"348","La Rioja",2016,"372879","185662","187217"
"349","La Rioja",2017,"378047","188229","189818"
"350","La Rioja",2018,"383220","190798","192422"
"351","La Rioja",2019,"388386","193364","195022"
"352","La Rioja",2020,"393531","195919","197612"
"353","La Rioja",2021,"398648","198459","200189"
"354","La Rioja",2022,"403727","200980","202747"
"355","La Rioja",2023,"408760","203476","205284"
"356","La Rioja",2024,"413735","205942","207793"
"357","La Rioja",2025,"418645","208374","210271"
"358","La Rioja",2026,"423488","210770","212718"
"359","La Rioja",2027,"428256","213127","215129"
"360","La Rioja",2028,"432944","215442","217502"
"361","La Rioja",2029,"437549","217713","219836"
"362","La Rioja",2030,"442067","219938","222129"
"363","La Rioja",2031,"446498","222118","224380"
"364","La Rioja",2032,"450839","224251","226588"
"365","La Rioja",2033,"455091","226338","228753"
"366","La Rioja",2034,"459255","228379","230876"
"367","La Rioja",2035,"463331","230375","232956"
"368","La Rioja",2036,"467323","232328","234995"
"369","La Rioja",2037,"471232","234238","236994"
"370","La Rioja",2038,"475062","236108","238954"
"371","La Rioja",2039,"478816","237940","240876"
